From,To,Volume,Cost,Var,prob
93,817,0.0,3.0,0.636610682,1.0
94,813,1729.0,2.440000153,0.0003595,1.0
95,818,74.0,3.400000254,1.849464563,1.0
95,819,716.0,2.040000025,0.272363336,1.0
96,558,91.0,0.360000006,0.011435257,1.0
97,648,607.6182099,1.2,0.03569451,1.0
97,659,0.0,1.040000025,0.041447577,1.0
97,694,136.0,1.320000076,0.02090564,1.0
97,695,197.3817901,1.320000076,3.47e-05,0.904451092106946
98,601,347.4421885,0.920000013,0.010660447,1.0
98,647,296.0558036,0.680000051,0.000545165,1.0
98,650,396.5020079,1.4,0.002632513,1.0
99,600,128.0,0.480000019,0.006519461,1.0
99,644,37.0,0.880000051,0.010670497,1.0
100,694,247.1262197,1.6,0.119313224,1.0
100,695,0.0,1.6,0.00034485,1.0
100,718,88.87378033,1.760000102,0.016729627,1.0
100,728,173.0,1.6,0.391098825,1.0
101,688,409.0,0.960000038,0.025733407,0.8586282438351582
101,689,658.0,0.960000038,0.020974219,1.0
102,677,156.0,2.480000051,0.008994104,1.0
102,687,59.0,0.720000013,0.000639872,1.0
103,751,2.0,0.920000013,0.063957948,0.9035071894683855
103,752,0.0,0.680000051,0.031886882,1.0
104,708,0.0,1.960000102,0.1969935,1.0
104,836,374.0,1.080000051,0.112123867,0.5362492827133036
105,755,0.0,1.120000076,0.127049353,1.0
106,705,331.0,1.120000076,0.000717602,1.0
106,742,256.0,1.120000076,0.167789298,1.0
107,546,52.0,1.080000051,0.005802507,1.0
107,548,325.0,0.960000038,0.002275469,0.6352276372537731
108,532,29.0,0.680000051,0.000828457,1.0
108,533,105.0,0.840000025,0.033927368,1.0
109,637,90.0,1.120000076,0.023249648,1.0
109,639,354.0,1.040000025,0.086575257,1.0
110,631,346.3145936,1.240000025,0.146771337,1.0
110,633,41.0,1.040000025,0.057884957,1.0
110,634,258.6854064,1.4,0.020542796,1.0
110,670,26.0,1.680000051,0.306662165,1.0
111,540,14.0,0.960000038,0.003232592,1.0
111,541,329.0,1.040000025,0.147677459,1.0
111,543,0.0,1.520000076,0.280106015,0.993313563446754
111,578,141.0,0.720000013,0.057836703,1.0
111,579,99.0,0.720000013,0.0003857,1.0
112,524,642.0,0.720000013,0.01560109,1.0
112,541,6.0,1.4,0.29712296,1.0
113,684,53.0,0.960000038,0.1068977,1.0
113,706,159.0,0.960000038,0.020397184,1.0
114,670,543.0,0.520000013,0.001368178,0.5604813388736427
114,682,0.0,1.880000051,0.006846222,1.0
114,686,7.0,1.880000051,0.143947429,1.0
115,633,372.9903984,1.840000025,0.104240818,1.0
115,667,662.0096016,1.640000025,0.098208473,1.0
116,570,37.0,0.520000013,0.007906679,1.0
116,571,647.0,0.520000013,0.0354521,1.0
117,522,806.0,0.8,0.022733333,1.0
117,538,3.0,1.160000102,0.167190639,1.0
118,567,63.0,0.920000013,0.017529814,1.0
118,665,21.0,1.880000051,0.381619051,1.0
119,520,222.0,0.920000013,0.124035535,1.0
120,667,483.0,1.120000076,0.088112264,0.6429292987258265
120,683,435.0,1.120000076,0.015567867,1.0
121,519,57.0,0.760000038,0.001524699,1.0
122,516,81.0,0.760000038,0.008894682,1.0
123,662,24.0,0.760000038,0.016866469,1.0
124,511,322.0,1.120000076,0.095443628,0.8864156759588051
125,803,0.0,1.080000051,0.116895445,1.0
126,740,0.0,1.120000076,0.154827247,1.0
127,338,0.0,5.280000305,0.924411676,1.0
128,824,0.0,2.840000153,0.64587379,1.0
128,831,0.0,2.840000153,0.555592726,1.0
129,825,0.0,3.400000254,0.042867578,0.6917791729017307
129,830,0.0,3.400000254,0.928084663,1.0
130,826,0.0,3.800000254,0.039668314,1.0
130,829,0.0,3.800000254,0.015598377,1.0
131,779,0.0,1.120000076,0.018306142,1.0
132,1032,6.0,2.000000127,0.267885952,1.0
133,1033,6.0,2.000000127,0.107611782,0.8613645844829485
134,241,22.0,2.000000127,0.480336475,1.0
135,353,5.0,2.000000127,0.145931812,1.0
136,335,4.0,2.000000127,0.069316159,1.0
136,348,5.0,2.000000127,0.008564502,1.0
137,324,4.0,2.000000127,0.003936023,1.0
138,1030,17.0,2.000000127,0.294781798,1.0
139,469,14.0,2.000000127,0.383287164,1.0
140,488,0.0,2.000000127,0.270725724,1.0
141,827,0.0,2.000000127,0.161312478,1.0
141,828,46.0,2.000000127,0.215812898,1.0
142,801,1.0,2.000000127,0.00450015,0.8146239185380904
143,800,3.0,2.000000127,0.003799316,1.0
144,737,37.0,2.000000127,0.000511338,1.0
145,660,3.0,2.000000127,0.036822326,1.0
146,1031,21.0,2.000000127,0.369692706,1.0
147,872,0.0,1.560000038,0.020220751,1.0
147,1048,38.0,0.780000019,0.065591944,1.0
160,162,933.0405151,0.391201923,0.001446509,1.0
160,203,484.0,0.767827859,0.016752867,1.0
161,204,98.0,1.567150612,0.001779841,1.0
161,536,2810.650611,0.486691973,0.033815599,1.0
162,161,2908.650611,0.441424914,0.016975102,0.7403358260239119
162,163,343.4967822,0.01,3.02e-06,1.0
162,164,528.611858,0.01,7.68e-07,1.0
163,162,0.0,0.01,1.38e-05,1.0
163,164,604.4789828,0.01,1.25e-05,1.0
163,527,1031.378586,2.267313888,0.023490626,1.0
164,162,2847.718736,0.01,2.58e-06,1.0
164,163,687.8818042,0.01,1.21e-05,1.0
164,165,1133.090841,0.25734922,4.23e-06,1.0
165,164,3535.60054,0.861319992,0.015324411,1.0
165,166,809.611858,0.243893445,0.000255008,1.0
165,201,415.0319134,1.538936791,0.060097326,1.0
166,11,460.0,1.560000102,0.009698802,1.0
166,165,3296.555582,0.679786904,0.003655082,1.0
166,167,554.611858,0.445341567,0.017844375,1.0
167,12,287.0,1.880000051,0.405760942,1.0
167,166,2832.555582,0.8273665,0.015221457,1.0
167,168,424.611858,0.481741036,0.00252325,1.0
168,167,2601.555582,0.753904824,3.22e-05,1.0
168,169,424.611858,1.056124577,2.71e-06,0.9405433188903294
168,198,0.0,1.643478394,0.057776094,1.0
169,14,200.0,2.280000051,0.015428886,1.0
169,168,2601.555582,1.652791341,0.200384588,1.0
169,170,360.611858,0.27784455,0.002458808,0.5773112616755103
170,13,80.0,0.840000025,0.048998563,1.0
170,169,2574.552931,0.427044555,0.00027542,1.0
170,171,362.611858,0.722400689,0.012125127,1.0
171,15,62.0,0.680000051,0.061525378,1.0
171,170,2263.552931,0.927601458,0.019938017,1.0
171,172,325.611858,0.370424117,0.001698644,0.5308088433633091
172,171,1971.552931,0.423583367,0.001465762,1.0
172,173,292.611858,0.629683553,0.020590115,1.0
172,189,33.0,1.669565809,0.395452322,1.0
173,17,114.0,2.440000153,0.811036182,1.0
173,172,1971.552931,0.720091778,0.008990551,1.0
173,174,369.611858,0.351947408,0.006623469,1.0
174,18,190.0,1.680000051,0.143803424,1.0
174,173,1318.552931,0.403204757,0.020205765,1.0
174,175,522.611858,0.612030669,0.011657209,1.0
175,174,190.0,0.611117332,0.018907788,1.0
175,176,522.611858,0.01,4.19e-06,1.0
176,175,190.0,0.01,9.89e-07,0.9790299734308072
176,177,522.611858,1.520803417,0.323702025,1.0
177,20,25.0,2.160000102,0.161041728,1.0
177,176,190.0,1.518533913,0.031786297,1.0
177,178,624.8917323,1.709906059,0.352548945,1.0
178,177,138.0,1.70381293,0.132673266,1.0
178,179,59.27886977,0.01,5.55e-06,1.0
178,180,69.61286254,0.01,3.44e-06,1.0
178,181,496.0,0.01,1.21e-05,1.0
179,178,0.0,0.01,4.25e-06,1.0
179,180,8.0,0.01,1.03e-05,1.0
179,181,98.0,0.01,7.4e-06,1.0
179,215,277.2798743,2.768116279,0.433548157,1.0
180,178,73.0,0.01,7.21e-06,0.9528999815797736
180,179,0.0,0.01,9.4e-07,1.0
180,181,233.0,0.01,1.41e-06,1.0
180,182,155.0,1.111237583,0.020437556,0.5779364528194948
181,178,65.0,0.01,1.45e-05,1.0
181,179,218.0010046,0.01,9.02e-07,1.0
181,180,77.38713746,0.01,1.38e-05,1.0
181,514,827.0,0.797174145,0.005041385,1.0
182,21,100.0,0.760000038,0.08692244,0.7157009633873586
182,180,306.0,1.114760044,0.157279142,0.79304113516828
182,1032,55.0,0.327272742,0.005728222,1.0
183,20,0.0,2.520000203,0.019450177,1.0
183,184,9.720125668,0.965217788,0.073731541,1.0
184,183,0.0,0.965217424,0.106089897,1.0
184,185,9.720125668,0.01,3.34e-06,1.0
185,184,0.0,0.01,5.23e-06,0.926587943270029
185,186,9.720125668,1.043478653,0.050099726,1.0
186,18,85.0,2.440000153,0.072766988,1.0
186,185,0.0,1.043478261,0.072366492,1.0
186,187,304.167195,0.805952816,0.041765959,1.0
187,17,70.0,2.440000153,0.368718215,1.0
187,186,85.0,0.757089309,0.00464488,1.0
187,188,689.167195,1.344551456,0.173095628,0.6794347572845061
188,187,155.0,0.629941479,0.014707728,1.0
188,189,0.0,1.486956555,0.001122283,1.0
188,190,265.0,0.92271022,0.08350906,1.0
188,220,534.167195,1.548907614,0.079756107,1.0
189,15,0.0,0.24000001,0.005728945,1.0
189,172,0.0,1.669565284,0.042326856,1.0
189,188,110.0,1.487058032,0.001760868,0.7402561523167053
190,19,351.0,1.880000051,0.012915083,1.0
190,188,60.0,0.887152941,0.004419128,1.0
190,191,371.0,1.062199015,0.162896556,1.0
191,14,45.0,2.280000051,0.218069021,1.0
191,190,174.0,0.947800295,0.133190695,1.0
191,192,474.1121299,1.024792811,0.030739365,1.0
192,191,210.0,0.796571914,0.047814271,1.0
192,193,131.1121299,0.01,4.57e-06,1.0
192,194,343.0,0.01,6.08e-06,1.0
193,192,103.0,0.01,9.42e-06,1.0
193,194,9.0,0.01,1.26e-05,1.0
193,224,172.1121299,0.759404296,0.038662982,1.0
194,192,107.0,0.01,1.01e-06,1.0
194,193,41.0,0.01,7.24e-07,1.0
194,195,352.0,0.605765382,0.057801985,1.0
195,16,110.0,1.880000051,0.00911321,0.9681611864160731
195,194,148.0,0.603141697,0.025543626,1.0
195,196,1151.0,0.588085154,0.029999762,1.0
196,195,258.0,0.378621388,0.013073295,1.0
196,198,613.113687,1.376711743,0.041090797,0.5322848339452932
196,209,537.886313,2.434896995,0.246760778,1.0
197,14,39.0,1.120000076,0.155892333,1.0
197,198,470.8852182,1.281603512,0.01105895,1.0
198,168,0.0,1.643478394,0.267702175,1.0
198,196,123.0,1.200134919,0.001149591,1.0
198,197,39.0,1.226087803,0.140482058,1.0
198,199,1083.998905,0.367918241,0.001508537,1.0
199,12,255.0,1.2,0.170001396,1.0
199,198,162.0,0.339260957,0.006441374,1.0
199,200,1038.998905,1.532839833,0.006186722,1.0
200,11,174.0,1.560000102,0.268755753,1.0
200,199,273.0,0.602377787,0.000383472,1.0
200,201,1268.998905,0.366774235,0.000943797,1.0
201,165,330.5978886,1.524713724,0.294940105,1.0
201,200,317.0,0.315462304,0.002146119,1.0
201,202,513.2543589,0.612102236,4.4e-05,1.0
201,206,792.1785711,0.426116552,0.002248486,1.0
202,201,0.0,0.573913077,0.050941563,1.0
202,203,513.2543589,0.639925037,0.011634541,1.0
203,160,431.4286572,0.75280452,0.023777132,1.0
203,202,0.0,0.600000008,0.00012325,1.0
203,204,609.2087969,0.178922361,0.005081111,1.0
203,207,484.0,0.877517528,0.0253398,1.0
204,161,0.0,1.565217391,0.377921522,1.0
204,203,0.0,0.156521745,0.000646001,0.8646768170178287
204,205,707.2087969,0.200145504,0.004085794,1.0
205,204,0.0,0.156521745,0.00038365,1.0
205,208,226.5210172,0.965292479,0.000542823,1.0
205,839,1339.907077,0.586211307,0.007366439,1.0
206,201,269.0,0.418939853,0.002934729,1.0
206,207,792.1785711,0.47938111,0.001636022,1.0
207,203,527.3830952,0.897496648,0.030448484,0.5252434415658314
207,206,269.0,0.471307324,0.002688757,1.0
207,208,1404.625641,0.397624323,0.019432779,1.0
207,354,270.5529306,0.544355752,0.005144254,1.0
208,205,632.6982801,0.972607254,0.009455553,1.0
208,207,592.3148298,0.352554316,0.012659286,1.0
208,211,806.0,0.533522041,0.035817089,1.0
208,260,1318.794926,1.157063869,0.039084028,1.0
209,196,135.0,1.649713966,0.185604794,1.0
209,210,537.886313,0.01,1.84e-06,1.0
210,209,135.0,0.01,8.62e-06,1.0
210,354,537.886313,0.657035693,0.000161406,1.0
211,208,1179.164596,0.586243885,0.050707583,1.0
211,1036,806.0,1.307129067,0.119055391,1.0
212,25,363.4470694,0.8,0.063009296,1.0
212,227,905.0,2.545106221,0.297760567,0.5420931660449558
212,1037,1179.164596,0.351746345,0.001818026,1.0
213,21,57.0,3.760000102,1.611652033,1.0
213,214,124.0,0.654545455,0.000154792,1.0
213,1033,80.0,0.305454566,0.004502477,1.0
214,213,123.0,0.654545455,0.025281114,1.0
214,215,6.0,0.01,5.41e-06,1.0
214,216,118.0,0.01,3.64e-06,1.0
215,179,106.0,2.76811609,0.462731599,1.0
215,214,43.0,0.01,4.25e-06,0.5454387052178425
215,216,234.2798743,0.01,9.03e-06,1.0
216,214,80.0,0.01,1.28e-05,1.0
216,215,100.0,0.01,1.28e-06,1.0
216,217,352.2798743,2.666667585,0.220047545,1.0
217,216,180.0,2.666666714,0.058081443,0.9655196716916005
217,218,352.2798743,0.01,2.73e-07,1.0
218,217,180.0,0.01,4.42e-07,1.0
218,219,352.2798743,0.652174175,0.036156555,1.0
219,218,180.0,0.652173962,0.010955314,1.0
219,220,227.0,1.38501114,0.154859997,1.0
219,221,677.4470694,1.275393662,0.070586162,1.0
219,1049,274.0,1.375767001,0.179954366,1.0
220,19,170.0,1.280000051,0.007140627,1.0
220,188,95.0,1.434833467,0.000390405,1.0
220,219,699.167195,1.748755669,0.367669897,1.0
221,219,233.0,1.27536242,0.001683055,1.0
221,222,9.0,0.01,2.16e-06,1.0
221,223,668.4470694,0.01,4.1e-07,1.0
222,221,31.0,0.01,4.26e-06,1.0
222,223,433.1121299,0.01,1.21e-05,1.0
222,224,60.0,1.703705506,0.042278,1.0
223,221,202.0,0.01,9.89e-07,1.0
223,222,51.0,0.01,3.6e-06,1.0
223,225,1101.559199,0.754077223,0.03262432,1.0
224,16,71.0,1.320000076,0.058708296,1.0
224,193,112.0,0.759276612,0.001268317,1.0
224,222,464.1121299,1.747560298,0.375140084,1.0
225,28,153.0,1.480000051,0.292986687,1.0
225,223,253.0,0.753623235,0.031768302,1.0
225,226,1156.559199,0.890549259,0.032557929,1.0
226,225,347.0,0.884058291,0.07213593,1.0
226,227,133.4470694,0.01,9.34e-07,0.9301331216307472
226,228,168.0,0.01,1.4e-05,0.5679742737736782
226,229,855.1121299,0.01,1.07e-05,1.0
227,212,764.793618,2.495978039,0.50157101,0.9610453978415017
227,226,91.0,0.01,2.73e-06,1.0
227,228,569.0,0.01,2.87e-08,1.0
227,229,245.0,0.01,1.77e-08,1.0
228,226,7.0,0.01,7.54e-06,0.9965820125758716
228,227,525.3465486,0.01,5.32e-06,1.0
228,229,171.1836569,0.01,5.66e-06,1.0
228,230,957.0,0.629404899,0.003825413,1.0
229,226,249.0,0.01,2.29e-06,1.0
229,227,106.0,0.01,5.44e-06,1.0
229,228,220.0,0.01,1.95e-06,1.0
229,249,1271.295787,0.435455693,0.003925724,1.0
230,228,703.5302055,0.615108265,0.017111629,1.0
230,231,957.0,1.468611371,0.039947011,1.0
231,230,681.5302055,1.433897068,0.232313957,1.0
231,232,957.0,0.01,8.64e-06,1.0
232,231,681.5302055,0.01,2.8e-07,1.0
232,233,957.0,0.495894752,0.038412311,1.0
233,29,285.0,0.520000013,5.9e-05,1.0
233,232,681.5302055,0.48417304,0.000149071,1.0
233,234,732.0,0.466647133,0.031013306,1.0
234,233,741.5302055,0.466890399,0.014418813,1.0
234,235,732.0,0.01,2.47e-06,1.0
235,234,741.5302055,0.01,1.36e-05,1.0
235,236,732.0,0.709303632,0.000164031,1.0
236,235,741.5302055,0.709673397,0.048590127,1.0
236,237,0.0,0.886956588,7.5e-06,1.0
236,239,997.0,2.462875582,0.574527705,1.0
236,245,487.4697945,1.016232264,0.058480327,1.0
237,31,123.0,3.800000254,0.009726028,1.0
237,236,151.0,0.887205898,5.56e-05,1.0
237,238,93.0,1.095687522,0.000710581,1.0
238,28,19.0,1.880000051,0.312694969,1.0
238,237,274.0,1.100065758,0.083761316,0.6442576204559618
238,1050,74.0,2.460869348,0.064146315,1.0
239,31,513.0,1.640000025,0.117079787,1.0
239,236,1229.0,2.491822167,0.294963196,1.0
239,240,770.0,0.77263767,0.038914643,1.0
240,30,770.0,1.040000025,0.007167307,1.0
240,239,0.0,0.286956538,0.00241353,1.0
240,242,0.0,5.426087089,3.654120327,0.5452389401188521
241,134,23.0,2.000000127,0.008214737,1.0
241,242,14.0,0.480000028,0.010971532,1.0
241,353,8.0,5.565217612,0.546464654,1.0
242,240,0.0,5.426087089,3.152939025,1.0
242,241,23.0,0.480000028,0.012544181,1.0
242,243,14.0,2.608695836,0.57075663,1.0
243,32,67.0,0.520000013,0.011877067,1.0
243,242,23.0,2.608695837,0.002761122,0.6545683389753341
243,244,90.0,1.376811899,0.003058507,1.0
244,243,90.0,1.376811899,0.066561747,1.0
244,245,637.0,0.949961119,0.035024374,1.0
244,246,428.4697945,0.471132287,0.003296046,1.0
244,349,176.0,1.92633679,0.320341919,1.0
245,30,523.0,3.920000203,0.580092036,0.640521398689559
245,236,114.0,0.965294694,5.11e-05,1.0
245,244,526.4697945,0.868981154,0.009154656,0.7046412952572403
246,244,452.0,0.473435708,0.027697564,1.0
246,247,428.4697945,0.01,6.82e-10,0.6815169307410069
247,246,452.0,0.01,3.96e-06,1.0
247,248,428.4697945,1.36922823,0.043145109,1.0
248,27,167.0,1.520000076,0.100089798,1.0
248,247,452.0,1.375922546,0.003430573,1.0
248,252,261.4697945,1.320535313,0.057967681,0.5984185891298863
249,229,575.0,0.43483846,0.01890887,1.0
249,250,1271.295787,0.01,7.18e-07,1.0
250,249,575.0,0.01,1.4e-05,1.0
250,251,1271.295787,0.870911385,0.073897636,1.0
251,250,575.0,0.869572459,0.118508918,0.5918259410969613
251,252,16.0,0.01,9.47e-06,1.0
251,253,1198.428168,0.01,3.62e-06,1.0
251,254,56.86761896,0.01,1.39e-05,1.0
252,248,452.0,1.346332797,0.068686719,1.0
252,251,15.0,0.01,6.13e-06,1.0
252,253,163.5249693,0.01,1.41e-05,0.6693744197413286
252,254,82.94482521,0.01,5.39e-08,1.0
253,251,560.0,0.01,3.72e-09,1.0
253,252,352.0,0.01,1.37e-06,1.0
253,254,0.0,0.01,2.33e-06,1.0
253,284,1361.953137,0.406785951,0.001207372,1.0
254,251,0.0,0.01,1.78e-07,1.0
254,252,84.0,0.01,3.64e-06,1.0
254,253,0.0,0.01,1.3e-06,1.0
254,255,139.8124442,0.834948995,0.001125322,1.0
255,254,84.0,0.834799716,0.019876126,1.0
255,256,139.8124442,1.121962717,0.178823078,1.0
255,283,0.0,0.991304398,0.036820607,1.0
256,255,84.0,1.121762124,0.054899189,1.0
256,257,161.8124442,1.983367861,0.559005068,0.5364601186470523
